epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9233018159866333,9.999999747378752e-06,0.1928335279226303,0.9734399914741516,0.921818196773529,0.9567430019378662,0.09008368104696274,0.9928186535835266,0.9485419988632202
1,0.9601889252662659,9.999999747378752e-06,0.10556115210056305,0.9866001605987549,0.9593939185142517,0.9516539573669434,0.10782283544540405,0.9963570237159729,0.9382504224777222
2,0.9667116403579712,9.999999747378752e-06,0.08103758841753006,0.990965723991394,0.963939368724823,0.9720101952552795,0.07050253450870514,0.9982237815856934,0.9639794230461121
3,0.971435010433197,9.999999747378752e-06,0.0666998103260994,0.9913285970687866,0.9700000286102295,0.9287531971931458,0.18825921416282654,1.0,0.9039450883865356
4,0.9700854420661926,9.999999747378752e-06,0.06890810281038284,0.9916175007820129,0.9678787589073181,0.93638676404953,0.16899754106998444,1.0,0.9142367243766785
5,0.9759334325790405,9.999999747378752e-06,0.05584678426384926,0.993508517742157,0.9739394187927246,0.9592875242233276,0.13291074335575104,1.0,0.9451115131378174
6,0.9847053289413452,9.999999747378752e-06,0.045086007565259933,0.9960098266601562,0.9833333492279053,0.9707379341125488,0.07541989535093307,1.0,0.9605488777160645
7,0.9808816909790039,9.999999747378752e-06,0.05259447172284126,0.9950723648071289,0.9790909290313721,0.9694656729698181,0.07214954495429993,0.9982174634933472,0.9605488777160645
8,0.988304078578949,4.999999873689376e-06,0.029742496088147163,0.9975489974021912,0.9866666793823242,0.9707379341125488,0.07933031022548676,1.0,0.9605488777160645
9,0.9878542423248291,4.999999873689376e-06,0.026761112734675407,0.996026873588562,0.9875757694244385,0.9631043076515198,0.11239992827177048,1.0,0.9502573013305664
10,0.9930274486541748,4.999999873689376e-06,0.018498936668038368,0.9984751343727112,0.9921212196350098,0.9694656729698181,0.09014993160963058,1.0,0.958833634853363
11,0.9887539148330688,4.999999873689376e-06,0.027980774641036987,0.9969419240951538,0.9878787994384766,0.9694656729698181,0.08508279174566269,1.0,0.958833634853363
12,0.9919028282165527,4.999999873689376e-06,0.022885899990797043,0.9972577691078186,0.9918181896209717,0.9631043076515198,0.11127488315105438,1.0,0.9502573013305664
