epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.6315789222717285,0.0010000000474974513,1.2868287563323975,0.8442419171333313,0.6175757646560669,0.8918575048446655,0.27783459424972534,0.9577205777168274,0.8936535120010376
1,0.8153396248817444,0.0010000000474974513,0.5285566449165344,0.931731104850769,0.810606062412262,0.9147582650184631,0.218006432056427,0.9657039642333984,0.9176672101020813
2,0.8641475439071655,0.0010000000474974513,0.3781357705593109,0.9529569745063782,0.8593939542770386,0.9287531971931458,0.18261931836605072,0.9764918684959412,0.9262435436248779
3,0.8837156891822815,0.0010000000474974513,0.31595858931541443,0.9596960544586182,0.8803030252456665,0.9147582650184631,0.22757099568843842,0.9849624037742615,0.8987993001937866
4,0.8960863947868347,0.0010000000474974513,0.26963478326797485,0.9625163078308105,0.8948484659194946,0.9134860038757324,0.21549385786056519,0.9831144213676453,0.8987993001937866
5,0.9030589461326599,0.0010000000474974513,0.250625878572464,0.9668076634407043,0.9003030061721802,0.9465649127960205,0.14303058385849,0.980461835861206,0.9468267560005188
6,0.90260910987854,0.0010000000474974513,0.24526111781597137,0.9649691581726074,0.9015151262283325,0.919847309589386,0.19444093108177185,0.9850746393203735,0.9056603908538818
7,0.9120557904243469,0.0010000000474974513,0.22304338216781616,0.9705597162246704,0.9090909361839294,0.9427480697631836,0.1447448432445526,0.9803571701049805,0.9416809678077698
8,0.9165542125701904,0.0010000000474974513,0.21443378925323486,0.9689401388168335,0.9169697165489197,0.9351145029067993,0.1536107361316681,0.9836363792419434,0.9279588460922241
9,0.9134052991867065,0.0010000000474974513,0.23041576147079468,0.9675970673561096,0.9139394164085388,0.9249364137649536,0.1920570582151413,0.9924812316894531,0.9056603908538818
10,0.910481333732605,0.0010000000474974513,0.2140600085258484,0.9701879620552063,0.9072727560997009,0.9173027873039246,0.2186918705701828,0.9961685538291931,0.8919382691383362
11,0.9129554629325867,0.0005000000237487257,0.20778712630271912,0.9699903130531311,0.910909116268158,0.9376590251922607,0.15883849561214447,0.9872262477874756,0.9279588460922241
12,0.919478178024292,0.0005000000237487257,0.20148275792598724,0.9723827838897705,0.9175757765769958,0.9173027873039246,0.2055567055940628,0.9905303120613098,0.8970840573310852
13,0.9154295921325684,0.0005000000237487257,0.21906845271587372,0.9716129302978516,0.9127272963523865,0.9351145029067993,0.15712472796440125,0.985401451587677,0.9262435436248779
14,0.9143049716949463,0.0005000000237487257,0.21172451972961426,0.9706546068191528,0.9121212363243103,0.9402035474777222,0.15189586579799652,0.9855072498321533,0.9331046342849731
15,0.9140800833702087,0.0005000000237487257,0.21856719255447388,0.9664322137832642,0.9160606265068054,0.9338422417640686,0.15440653264522552,0.988950252532959,0.9210977554321289
